ticker,sector
AAPL,Information Technology
MSFT,Information Technology
NVDA,Information Technology
GOOGL,Communication Services
AMZN,Consumer Discretionary
META,Communication Services
TSLA,Consumer Discretionary
BRK-B,Financials
JPM,Financials
JNJ,Health Care
V,Financials
PG,Consumer Staples
XOM,Energy
UNH,Health Care
HD,Consumer Discretionary
MA,Financials
LLY,Health Care
CVX,Energy
ABBV,Health Care
PEP,Consumer Staples
KO,Consumer Staples
MRK,Health Care
AVGO,Information Technology
COST,Consumer Staples
WMT,Consumer Staples
BAC,Financials
PFE,Health Care
TMO,Health Care
DIS,Communication Services
ABT,Health Care
CSCO,Information Technology
ACN,Information Technology
ADBE,Information Technology
NFLX,Communication Services
WFC,Financials
CRM,Information Technology
ORCL,Information Technology
DHR,Health Care
TXN,Information Technology
NKE,Consumer Discretionary
INTC,Information Technology
PM,Consumer Staples
UPS,Industrials
NEE,Utilities
RTX,Industrials
QCOM,Information Technology
IBM,Information Technology
CAT,Industrials
LIN,Materials
AMD,Information Technology
SPY,ETF
