feature,gain
log_rv_lag_5d,354129.11447286606
log_rv_lag_22d,263144.33179807663
gk_vol_lag_5d,80451.3731174469
ret_1d,42439.694219112396
parkinson_vol_lag_5d,31739.69080400467
gk_vol_lag_22d,21123.817369937897
parkinson_vol_lag_1d,16609.76870250702
vix_change_5d,15624.954371452332
gk_vol_lag_1d,11447.60831451416
ticker,11446.834615707397
vix_lag,10534.475437641144
vix_z_252,9864.32007932663
parkinson_vol_lag_22d,9570.53105020523
month,7756.86274766922
log_rv_lag_1d,4950.512023925781
dgs10_lag,3617.990032672882
ret_lag_1d,2489.0808777809143
dgs2_lag,2313.2598357200623
term_spread_lag,2086.7594561576843
dow,1641.6126337051392
term_spread_change_5d,1616.8926210403442
ret_lag_5d,1476.0658025741577
ret_lag_22d,1037.5064449310303
abs_ret_lag_5d,331.19770860671997
abs_ret_lag_1d,76.10492086410522
sector,67.72129917144775
abs_ret_lag_22d,8.598400115966797
sector_vol_rank_22d,0.0
